time,grid,algorithm,program,dt,mean_elev__change,max_elev__change,local_elev__max_change,net_flux
49800000,raster,fastscape,ttlem,250,0,0,0,0
49900000,raster,fastscape,ttlem,250,0,0,0,0
50000000,raster,fastscape,ttlem,250,0,0,0,0
100000,raster,tvd,ttlem,2500,37.8257215054918,39.432684841225,42.5957107497194,0.00037825721505492
200000,raster,tvd,ttlem,2500,35.9182005093202,39.2286643164552,42.6842479516388,0.0003591820050932
300000,raster,tvd,ttlem,2500,33.1028576404281,39.0799293806894,43.1123306571356,0.000331028576404284
400000,raster,tvd,ttlem,2500,29.4339459529106,38.9725009338606,43.768384032842,0.000294339459529105
500000,raster,tvd,ttlem,2500,25.1449512048656,39.606228811696,44.8286789250025,0.00025144951204865
600000,raster,tvd,ttlem,2500,20.5830013855064,39.7850960727061,51.9872481489105,0.00020583001385507
700000,raster,tvd,ttlem,2500,16.109235485409,39.9144735212373,45.6330074009389,0.000161092354854088
800000,raster,tvd,ttlem,2500,12.0595386859247,39.9994224456651,44.3012920139035,0.000120595386859236
900000,raster,tvd,ttlem,2500,8.64639545734099,40.0563389706685,44.1998076646168,8.64639545734354e-05
1000000,raster,tvd,ttlem,2500,5.93312105033698,39.3462161918715,45.2603362867205,5.93312105033497e-05
1100000,raster,tvd,ttlem,2500,3.9056948835418,37.2841416437813,42.9765417257977,3.90569488354259e-05
1200000,raster,tvd,ttlem,2500,2.48336434430661,38.5438721102668,43.0415286981079,2.48336434430587e-05
1300000,raster,tvd,ttlem,2500,1.53140003518587,42.1136485651508,43.3428137397553,1.53140003518746e-05
1400000,raster,tvd,ttlem,2500,0.928421733679215,37.165903134236,41.3327210886129,9.28421733677034e-06
1500000,raster,tvd,ttlem,2500,0.551530200883633,24.6183496591726,40.1997635280703,5.51530200884327e-06
1600000,raster,tvd,ttlem,2500,0.325188134295956,15.2533786734898,32.9832526148409,3.25188134296643e-06
1700000,raster,tvd,ttlem,2500,0.189490770954365,12.819948111034,36.9344638814483,1.89490770954728e-06
1800000,raster,tvd,ttlem,2500,0.107730740776276,7.43473095589161,33.107492341756,1.07730740775719e-06
1900000,raster,tvd,ttlem,2500,0.0599320234903757,6.57714700183897,32.6386959635462,5.99320234895571e-07
2000000,raster,tvd,ttlem,2500,0.0337737786583716,4.19610108807194,34.8169801759901,3.37737786597068e-07
2100000,raster,tvd,ttlem,2500,0.0192535331667614,2.53334937891043,32.2902170646503,1.92535331654912e-07
2200000,raster,tvd,ttlem,2500,0.0068753316013499,1.3859392006699,38.6417965905158,6.87533160246896e-08
2300000,raster,tvd,ttlem,2500,0.00135951805577861,1.39748508761477,39.3913084384636,1.359518055004e-08
2400000,raster,tvd,ttlem,2500,0.000612098304372921,1.15576281225344,35.4585588272518,6.12098303899054e-09
2500000,raster,tvd,ttlem,2500,0.00299328563875179,1.13656161122731,33.0624444265621,2.99328563733036e-08
2600000,raster,tvd,ttlem,2500,0.0053124182436477,1.06747247771534,38.3737586723989,5.31241824652801e-08
2700000,raster,tvd,ttlem,2500,0.0055019550408133,0.865657332028036,51.7291559182271,5.50195503898604e-08
2800000,raster,tvd,ttlem,2500,0.00558222316732326,0.6342682068763,30.7389752599364,5.58222316787551e-08
2900000,raster,tvd,ttlem,2500,0.00616153288120813,0.436728684281775,41.0229588057488,6.1615328819813e-08
3000000,raster,tvd,ttlem,2500,0.00789560108262322,0.285852659293141,36.4675518270026,7.89560108109545e-08
3100000,raster,tvd,ttlem,2500,0.00911954696960038,0.181475738127688,38.2823446559882,9.11954696956901e-08
3200000,raster,tvd,ttlem,2500,0.00809996063520657,0.116099558283508,44.0669227938477,8.09996063436053e-08
3300000,raster,tvd,ttlem,2500,0.00466580907857406,0.0747476854446631,38.2129046445739,4.66580908047742e-08
3400000,raster,tvd,ttlem,2500,0.00512307525286815,0.0453088427859711,44.7904402340885,5.12307525159087e-08
3500000,raster,tvd,ttlem,2500,0.00593017020787556,0.0245463949197529,32.5746171975363,5.93017020844261e-08
3600000,raster,tvd,ttlem,2500,0.00505466435635071,0.00885200034497302,28.9543977467175,5.05466435735884e-08
3700000,raster,tvd,ttlem,2500,0.0057981395559068,0.00386378304517621,37.4524192528913,5.79813955543453e-08
3800000,raster,tvd,ttlem,2500,0.00457750847175475,0.0114147407574592,34.0465050085222,4.57750847000185e-08
3900000,raster,tvd,ttlem,2500,0.00439471187877416,0.015475392812732,34.6647824400408,4.39471188128949e-08
4000000,raster,tvd,ttlem,2500,0.00319291544275302,0.0193356411937202,23.9137413928067,3.19291544248504e-08
